mfl_id,mfl_name,first_last,standard_name,pos,team,draft_year,college,stats_id,sportsdata_id,espn_id,cbs_id,nfl_id
0501,"Bills, Buffalo",Buffalo Bills,bills defense,DST,BUF,1970,,2,,,409,
0502,"Colts, Indianapolis",Indianapolis Colts,colts defense,DST,IND,1970,,11,,,402,
0503,"Dolphins, Miami",Miami Dolphins,dolphins defense,DST,MIA,1970,,15,,,404,
0504,"Patriots, New England",New England Patriots,patriots defense,DST,NE,1970,,17,,,406,
0505,"Jets, New York",New York Jets,jets defense,DST,NYJ,1970,,20,,,410,
0506,"Bengals, Cincinnati",Cincinnati Bengals,bengals defense,DST,CIN,1970,,4,,,426,
0507,"Browns, Cleveland",Cleveland Browns,browns defense,DST,CLE,1970,,5,,,419,
0508,"Titans, Tennessee",Tennessee Titans,titans defense,DST,TEN,1970,,10,,,431,
0509,"Jaguars, Jacksonville",Jacksonville Jaguars,jaguars defense,DST,JAC,1970,,30,,,422,
0510,"Steelers, Pittsburgh",Pittsburgh Steelers,steelers defense,DST,PIT,1970,,23,,,413,
0511,"Broncos, Denver",Denver Broncos,broncos defense,DST,DEN,1970,,7,,,428,
0512,"Chiefs, Kansas City",Kansas City Chiefs,chiefs defense,DST,KC,1970,,12,,,403,
0513,"Raiders, Las Vegas",Las Vegas Raiders,raiders defense,DST,LVR,1970,,13,,,424,
0514,"Chargers, Los Angeles",Los Angeles Chargers,chargers defense,DST,LAC,1970,,24,,,414,
0515,"Seahawks, Seattle",Seattle Seahawks,seahawks defense,DST,SEA,1970,,26,,,416,
0516,"Cowboys, Dallas",Dallas Cowboys,cowboys defense,DST,DAL,1970,,6,,,427,
0517,"Giants, New York",New York Giants,giants defense,DST,NYG,1970,,19,,,408,
0518,"Eagles, Philadelphia",Philadelphia Eagles,eagles defense,DST,PHI,1970,,21,,,411,
0519,"Cardinals, Arizona",Arizona Cardinals,cardinals defense,DST,ARI,1970,,22,,,412,
0520,"FootballTeam, Washington",Washington FootballTeam,footballteam defense,DST,WAS,1970,,28,,,418,
