playerid,player,id,name
2184953,Nick Westbrook-Ikhine,15109,"Westbrook, Nick"
328365,Gregory Howell,13916,"Howell, Buddy"
37421,Alex Armah,13326,"Armah, Alexander"
982629,Scotty Miller,14280,"Miller, Scott"
12635,Jonathan Williams,12635,"Williams, Jonathan"
12322,Antonio Brown,9988,"Brown, Antonio"
35674,Mike Thomas,12675,"Thomas, Mike"
21794,Mike Davis,12164,"Davis, Mike"
37076,David Moore,13348,"Moore, David"
972489,Marquise Brown,14105,"Brown, Marquise"
1844521,Tyler Davis,14996,"Davis, Tyler"
36949,Corey Davis,13153,"Davis, Corey"
12900,Dwayne Harris,10410,"Harris, Dwayne"
16549,Chris Thompson,11186,"Thompson, Chris"
36957,Noah Brown,13172,"Brown, Noah"
1844610,Austin Mack,14855,"Mack, Austin"
37002,Chris Godwin,13163,"Godwin, Chris"
328156,Antonio Callaway,13640,"Callaway, Antonio"
36905,Austin Carr,13367,"Carr, Austin"
36989,Brian Hill,13240,"Hill, Brian"
36947,Taywan Taylor,13167,"Taylor, Taywan"
328242,Brandon Powell,13910,"Powell, Brandon"
1844672,Isaiah Wright,15077,"Wright, Isaiah"
18179,Allen Robinson,11678,"Robinson, Allen"
982601,Deonte Harris,14558,"Harris, Deonte"
1844805,Tyler Johnson,14864,"Johnson, Tyler"
35616,Tyreek Hill,12801,"Hill, Tyreek"
18287,Mike Evans,11671,"Evans, Mike"
37073,Chris Carson,13364,"Carson, Chris"
1844773,Marquez Callaway,15034,"Callaway, Marquez"
21560,Nick Boyle,12328,"Boyle, Nick"
21789,Malcolm Brown,12386,"Brown, Malcolm"
328735,Ian Thomas,13678,"Thomas, Ian"
37037,Mike Williams,13154,"Williams, Mike"
18357,John Brown,11783,"Brown, John"
328736,Kyle Allen,13879,"Allen, Kyle"
37066,Trent Taylor,13316,"Taylor, Trent"
982082,David Montgomery,14071,"Montgomery, David"
21808,Tyler Lockett,12187,"Lockett, Tyler"
35418,Tyler Boyd,12650,"Boyd, Tyler"
982570,Terry Godwin,14298,"Godwin, Terry"
35553,Marcus Johnson,13387,"Johnson, Marcus"
35511,Stephen Anderson,12859,"Anderson, Stephen"
36900,Isaiah Ford,13162,"Ford, Isaiah"
37060,Matt Breida,13378,"Breida, Matt"
982633,Malik Taylor,14533,"Taylor, Malik"
1849699,Lynn Bowden Jr.,14843,"Bowden, Lynn"
21598,Kevin White,12177,"White, Kevin"
18552,Ryan Griffin,11399,"Griffin, Ryan"
328302,Mike Boone,13868,"Boone, Mike"
35503,Robby Anderson,12930,"Anderson, Robby"
21554,DeAndre Carter,12394,"Carter, DeAndre"
21755,Chris Conley,12257,"Conley, Chris"
982258,Damien Harris,14075,"Harris, Damien"
12526,Andre Roberts,9921,"Roberts, Andre"
35624,Marvin Hall,13505,"Hall, Marvin"
36940,Keelan Cole,13412,"Cole, Keelan"
18363,Logan Thomas,11647,"Thomas, Logan"
21774,David Johnson,12171,"Johnson, David"
2184716,Dan Chisena,15057,"Chisena, Dan"
11768,Dion Lewis,10389,"Lewis, Dion"
1844330,Gabriel Davis,14845,"Davis, Gabriel"
16563,DeAndre Hopkins,11232,"Hopkins, DeAndre"
328152,Nick Chubb,13610,"Chubb, Nick"
1001771,Steven Sims,14613,"Sims, Steven"
982692,Darwin Thompson,14284,"Thompson, Darwin"
37028,Pharaoh Brown,13994,"Brown, Pharaoh"
37980,Colin Thompson,15123,"Thompson, Colin"
328269,Equanimeous St. Brown,13637,"St. Brown, Equanimeous"
21616,Ty Montgomery,12261,"Montgomery, Ty"
328211,Ryan Nall,13849,"Nall, Ryan"
1849756,Eno Benjamin,14801,"Benjamin, Eno"
1844404,Isaiah Zuber,15116,"Zuber, Isaiah"
11819,Greg Olsen,8687,"Olsen, Greg"
16569,Keenan Allen,11222,"Allen, Keenan"
36825,Tim Patrick,13377,"Patrick, Tim"
13561,Nick Foles,10699,"Foles, Nick"
35596,Michael Thomas,12652,"Thomas, Michael"
1844099,Devin Duvernay,14847,"Duvernay, Devin"
37017,Marcus Kemp,13503,"Kemp, Marcus"
328677,Cam Sims,13895,"Sims, Cam"
35509,Tyler Ervin,12639,"Ervin, Tyler"
21723,Tevin Coleman,12152,"Coleman, Tevin"
35683,Alex Collins,12628,"Collins, Alex"
16536,Tyler Eifert,11250,"Eifert, Tyler"
982055,Diontae Johnson,14208,"Johnson, Diontae"
11837,Kyle Rudolph,10312,"Rudolph, Kyle"
1849700,Bryan Edwards,14844,"Edwards, Bryan"
16957,Josh Hill,11529,"Hill, Josh"
328305,Chad Beebe,13999,"Beebe, Chad"
982345,Penny Hart,14316,"Hart, Penny"
508241,Nick Bellore,10514,"Bellore, Nick"
35685,Nick Vannett,12680,"Vannett, Nick"
36971,Mack Hollins,13289,"Hollins, Mack"
49097,Brandon Zylstra,13585,"Zylstra, Brandon"
1849809,Brandon Aiyuk,14840,"Aiyuk, Brandon"
18233,Trey Burton,11705,"Burton, Trey"
11601,Aaron Rodgers,7836,"Rodgers, Aaron"
